titles,platforms,metascore,userscore,genre,date
ToeJam & Earl: Back in the Groove,PC,76,6.6,action,1-Mar-19
ToeJam & Earl: Back in the Groove,Xbox One,70,5.7,action,1-Mar-19
Dead or Alive 6,PlayStation 4,72,5.3,action,1-Mar-19
Dead or Alive 6,PC,73,5,action,1-Mar-19
Dead or Alive 6,Xbox One,76,5.5,action,1-Mar-19
Ape Out,PC,83,6.8,action,28-Feb-19
Ape Out,Switch,84,6.4,action,28-Feb-19
RemiLore: Lost Girl in the Lands of Lore,Switch,61,5.3,action,26-Feb-19
Devil Engine,Switch,72,7,action,21-Feb-19
Q.U.B.E. 2,Switch,69,6.6,action,21-Feb-19
ChromaGun VR,PlayStation 4,64,5.1,action,19-Feb-19
ToeJam & Earl: Back in the Groove!,Switch,75,5.9,action,15-Feb-19
ToeJam & Earl: Back in the Groove,PlayStation 4,66,6.3,action,15-Feb-19
Metro Exodus,Xbox One,82,6.9,action,15-Feb-19
Metro Exodus,PlayStation 4,80,7.2,action,15-Feb-19
Metro Exodus,PC,82,7.2,action,15-Feb-19
Jump Force,Xbox One,61,5,action,15-Feb-19
Degrees of Separation,PlayStation 4,70,6.1,action,14-Feb-19
Degrees of Separation,Switch,68,7.1,action,14-Feb-19
Degrees of Separation,PC,74,6.3,action,13-Feb-19
The Liar Princess and the Blind Prince,Switch,72,7.2,action,12-Feb-19
The Liar Princess and the Blind Prince,PlayStation 4,69,6.3,action,12-Feb-19
Away: Journey to the Unexpected,Switch,62,6.4,action,7-Feb-19
Salt and Sanctuary,Xbox One,80,6.5,action,6-Feb-19
Melbits World,PlayStation 4,71,6.6,action,5-Feb-19
Apex Legends,PlayStation 4,89,6.9,action,4-Feb-19
Apex Legends,Xbox One,88,6.9,action,4-Feb-19
Apex Legends,PC,88,6,action,4-Feb-19
Downwell,Switch,88,7.3,action,31-Jan-19
The Hong Kong Massacre,PlayStation 4,71,6,action,29-Jan-19
Pikuniku,PC,74,7.3,action,24-Jan-19
Unruly Heroes,PC,81,6.3,action,23-Jan-19
Unruly Heroes,Xbox One,77,6.1,action,23-Jan-19
The Hong Kong Massacre,PC,68,5.3,action,22-Jan-19
Wandersong,PlayStation 4,79,6.7,action,22-Jan-19
Farm Together,Xbox One,77,6.9,action,19-Jan-19
Guacamelee! 2,Xbox One,85,6.5,action,18-Jan-19
Feudal Alloy,PC,76,7.4,action,17-Jan-19
while True: learn,PC,73,6.5,action,17-Jan-19
New Super Mario Bros. U Deluxe,Switch,80,7,action,11-Jan-19
Hive Jump,Switch,67,6.4,action,11-Jan-19
Aftercharge,Xbox One,69,5.5,action,10-Jan-19
Double Cross,Switch,67,6.5,action,10-Jan-19
Elli,Switch,67,6,action,10-Jan-19
Battle Princess Madelyn,Switch,65,6.4,action,20-Dec-18
Battle Princess Madelyn,PlayStation 4,63,5,action,20-Dec-18
Warhammer: Vermintide 2,PlayStation 4,81,7,action,18-Dec-18
Mana Spark,Switch,68,6.1,action,17-Dec-18
Below,Xbox One,70,5.5,action,14-Dec-18
Below,PC,67,5.3,action,14-Dec-18
Borderlands 2 VR,PlayStation 4,72,7.3,action,14-Dec-18
Brawl Stars,iOS,72,5.4,action,12-Dec-18
